2021 super output area - lower layer,Geog_Code,Total: All usual residents,%,"Asian, Asian British or Asian Welsh",% ,"Asian, Asian British or Asian Welsh: Bangladeshi",%,"Asian, Asian British or Asian Welsh: Chinese",%,"Asian, Asian British or Asian Welsh: Indian",%,"Asian, Asian British or Asian Welsh: Pakistani",%,"Asian, Asian British or Asian Welsh: Other Asian",%,"Black, Black British, Black Welsh, Caribbean or African",%,"Black, Black British, Black Welsh, Caribbean or African: African",%,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",%,"Black, Black British, Black Welsh, Caribbean or African: Other Black",%,Mixed or Multiple ethnic groups,%,Mixed or Multiple ethnic groups: White and Asian,%,Mixed or Multiple ethnic groups: White and Black African,%,Mixed or Multiple ethnic groups: White and Black Caribbean,%,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,%,White,%,"White: English, Welsh, Scottish, Northern Irish or British","% White: English, Welsh, Scottish, Northern Irish or British",White: Irish,%,White: Gypsy or Irish Traveller,%,White: Roma,%,White: Other White,%,Other ethnic group,%,Other ethnic group: Arab,%,Other ethnic group: Any other ethnic group,%
Birmingham 100E,E01009296,1499,100,350,23.3,31,2.1,14,0.9,63,4.2,175,11.7,67,4.5,129,8.6,75,5,43,2.9,11,0.7,93,6.2,15,1,7,0.5,50,3.3,21,1.4,877,58.5,699,46.6,39,2.6,1,0.1,1,0.1,137,9.1,50,3.3,24,1.6,26,1.7
Birmingham 101A,E01008924,1492,100,119,8,9,0.6,24,1.6,48,3.2,22,1.5,16,1.1,83,5.6,34,2.3,39,2.6,10,0.7,95,6.4,23,1.5,6,0.4,54,3.6,12,0.8,1162,77.9,1076,72.1,25,1.7,0,0,0,0,61,4.1,33,2.2,17,1.1,16,1.1
Birmingham 101B,E01009501,1522,100,116,7.6,3,0.2,4,0.3,22,1.4,27,1.8,60,3.9,200,13.1,138,9.1,48,3.2,14,0.9,87,5.7,22,1.4,3,0.2,44,2.9,18,1.2,1044,68.6,979,64.3,20,1.3,0,0,10,0.7,35,2.3,75,4.9,34,2.2,41,2.7
Birmingham 101C,E01009502,1449,100,141,9.7,7,0.5,11,0.8,23,1.6,36,2.5,64,4.4,123,8.5,63,4.3,37,2.6,23,1.6,67,4.6,20,1.4,2,0.1,42,2.9,3,0.2,1083,74.7,957,66,15,1,0,0,2,0.1,109,7.5,35,2.4,5,0.3,30,2.1
Birmingham 101D,E01009503,1575,100,213,13.5,56,3.6,24,1.5,30,1.9,44,2.8,59,3.7,95,6,36,2.3,34,2.2,25,1.6,110,7,15,1,10,0.6,59,3.7,26,1.7,1101,69.9,1026,65.1,33,2.1,5,0.3,4,0.3,33,2.1,56,3.6,16,1,40,2.5
Birmingham 101E,E01009505,1640,100,158,9.6,4,0.2,26,1.6,42,2.6,26,1.6,60,3.7,165,10.1,61,3.7,68,4.1,36,2.2,101,6.2,13,0.8,3,0.2,79,4.8,6,0.4,1152,70.2,1078,65.7,8,0.5,0,0,0,0,66,4,64,3.9,38,2.3,26,1.6
Birmingham 102A,E01008917,1246,100,69,5.5,4,0.3,8,0.6,25,2,18,1.4,14,1.1,108,8.7,64,5.1,32,2.6,12,1,66,5.3,3,0.2,0,0,40,3.2,23,1.8,985,79.1,939,75.4,13,1,0,0,0,0,33,2.6,18,1.4,6,0.5,12,1
Birmingham 102B,E01008923,1519,100,59,3.9,4,0.3,2,0.1,18,1.2,21,1.4,14,0.9,195,12.8,113,7.4,43,2.8,39,2.6,123,8.1,19,1.3,15,1,66,4.3,23,1.5,1096,72.2,1056,69.5,11,0.7,0,0,0,0,29,1.9,46,3,11,0.7,35,2.3
Birmingham 102C,E01008925,1179,100,42,3.6,0,0,9,0.8,11,0.9,15,1.3,7,0.6,44,3.7,21,1.8,19,1.6,4,0.3,42,3.6,7,0.6,5,0.4,22,1.9,8,0.7,1047,88.8,1002,85,14,1.2,0,0,1,0.1,30,2.5,4,0.3,0,0,4,0.3
Birmingham 102D,E01008927,1305,100,47,3.6,0,0,2,0.2,20,1.5,17,1.3,8,0.6,156,12,46,3.5,88,6.7,22,1.7,109,8.4,11,0.8,9,0.7,56,4.3,33,2.5,963,73.8,930,71.3,8,0.6,0,0,0,0,25,1.9,30,2.3,15,1.1,15,1.1
Birmingham 102E,E01008928,1574,100,122,7.8,16,1,10,0.6,21,1.3,45,2.9,30,1.9,201,12.8,84,5.3,68,4.3,49,3.1,148,9.4,23,1.5,33,2.1,78,5,14,0.9,1072,68.1,1019,64.7,15,1,0,0,0,0,38,2.4,31,2,17,1.1,14,0.9
Birmingham 103A,E01009019,1802,100,587,32.6,72,4,5,0.3,83,4.6,330,18.3,97,5.4,128,7.1,54,3,57,3.2,17,0.9,101,5.6,35,1.9,4,0.2,38,2.1,24,1.3,892,49.5,768,42.6,26,1.4,1,0.1,0,0,97,5.4,94,5.2,23,1.3,71,3.9
Birmingham 103B,E01009020,1590,100,612,38.5,94,5.9,5,0.3,67,4.2,406,25.5,40,2.5,55,3.5,15,0.9,29,1.8,11,0.7,72,4.5,25,1.6,7,0.4,19,1.2,21,1.3,798,50.2,690,43.4,59,3.7,2,0.1,0,0,47,3,53,3.3,19,1.2,34,2.1
Birmingham 103C,E01009021,1750,100,428,24.5,56,3.2,5,0.3,57,3.3,277,15.8,33,1.9,69,3.9,14,0.8,34,1.9,21,1.2,111,6.3,19,1.1,7,0.4,47,2.7,38,2.2,1073,61.3,904,51.7,36,2.1,1,0.1,0,0,132,7.5,69,3.9,30,1.7,39,2.2
Birmingham 103D,E01009024,1829,100,590,32.3,36,2,21,1.1,118,6.5,391,21.4,24,1.3,156,8.5,96,5.2,48,2.6,12,0.7,125,6.8,26,1.4,9,0.5,68,3.7,22,1.2,902,49.3,791,43.2,37,2,7,0.4,0,0,67,3.7,56,3.1,16,0.9,40,2.2
Birmingham 103E,E01009025,1605,100,590,36.8,38,2.4,3,0.2,107,6.7,376,23.4,66,4.1,59,3.7,26,1.6,26,1.6,7,0.4,97,6,26,1.6,2,0.1,44,2.7,25,1.6,823,51.3,742,46.2,33,2.1,2,0.1,0,0,46,2.9,36,2.2,17,1.1,19,1.2
Birmingham 103F,E01009033,1917,100,747,39,65,3.4,1,0.1,117,6.1,517,27,47,2.5,100,5.2,44,2.3,31,1.6,25,1.3,143,7.5,53,2.8,9,0.5,55,2.9,26,1.4,841,43.9,749,39.1,25,1.3,0,0,0,0,67,3.5,86,4.5,33,1.7,53,2.8
Birmingham 104A,E01009175,1451,100,237,16.3,15,1,8,0.6,47,3.2,131,9,36,2.5,36,2.5,15,1,21,1.4,0,0,88,6.1,47,3.2,9,0.6,25,1.7,7,0.5,1050,72.4,904,62.3,52,3.6,0,0,0,0,94,6.5,40,2.8,22,1.5,18,1.2
Birmingham 104B,E01009177,1536,100,357,23.2,18,1.2,10,0.7,101,6.6,216,14.1,12,0.8,39,2.5,5,0.3,27,1.8,7,0.5,91,5.9,26,1.7,10,0.7,29,1.9,26,1.7,1032,67.2,878,57.2,51,3.3,1,0.1,6,0.4,96,6.2,17,1.1,6,0.4,11,0.7
Birmingham 104C,E01009178,1647,100,258,15.7,11,0.7,4,0.2,46,2.8,170,10.3,27,1.6,82,5,28,1.7,40,2.4,14,0.9,115,7,47,2.9,16,1,27,1.6,25,1.5,1157,70.2,973,59.1,70,4.3,0,0,2,0.1,112,6.8,35,2.1,22,1.3,13,0.8
Birmingham 104D,E01009179,1657,100,452,27.3,4,0.2,22,1.3,104,6.3,303,18.3,19,1.1,55,3.3,7,0.4,40,2.4,8,0.5,65,3.9,20,1.2,4,0.2,24,1.4,17,1,1022,61.7,910,54.9,63,3.8,0,0,4,0.2,45,2.7,63,3.8,17,1,46,2.8
Birmingham 104E,E01009189,1413,100,254,18,8,0.6,5,0.4,69,4.9,154,10.9,18,1.3,54,3.8,5,0.4,42,3,7,0.5,95,6.7,31,2.2,0,0,28,2,36,2.5,978,69.2,854,60.4,55,3.9,0,0,0,0,69,4.9,32,2.3,10,0.7,22,1.6
Birmingham 105A,E01008933,1620,100,764,47.2,29,1.8,5,0.3,121,7.5,555,34.3,54,3.3,76,4.7,7,0.4,63,3.9,6,0.4,69,4.3,24,1.5,2,0.1,19,1.2,24,1.5,641,39.6,559,34.5,36,2.2,0,0,0,0,46,2.8,70,4.3,47,2.9,23,1.4
Birmingham 105B,E01008934,1503,100,709,47.2,17,1.1,16,1.1,164,10.9,435,28.9,77,5.1,45,3,14,0.9,24,1.6,7,0.5,76,5.1,33,2.2,10,0.7,22,1.5,11,0.7,571,38,470,31.3,74,4.9,0,0,0,0,27,1.8,102,6.8,44,2.9,58,3.9
Birmingham 105C,E01009031,1818,100,944,51.9,52,2.9,0,0,222,12.2,596,32.8,74,4.1,46,2.5,9,0.5,32,1.8,5,0.3,54,3,26,1.4,0,0,19,1,9,0.5,692,38.1,590,32.5,54,3,0,0,4,0.2,44,2.4,82,4.5,26,1.4,56,3.1
Birmingham 105D,E01009037,1912,100,681,35.6,48,2.5,13,0.7,183,9.6,406,21.2,31,1.6,39,2,18,0.9,14,0.7,7,0.4,71,3.7,18,0.9,12,0.6,14,0.7,27,1.4,1043,54.6,913,47.8,84,4.4,0,0,3,0.2,43,2.2,78,4.1,42,2.2,36,1.9
Birmingham 105E,E01009176,1740,100,828,47.6,21,1.2,3,0.2,221,12.7,531,30.5,52,3,70,4,29,1.7,25,1.4,16,0.9,80,4.6,18,1,8,0.5,38,2.2,16,0.9,679,39,595,34.2,35,2,0,0,0,0,49,2.8,83,4.8,40,2.3,43,2.5
Birmingham 106C,E01008929,1597,100,104,6.5,12,0.8,11,0.7,16,1,31,1.9,34,2.1,177,11.1,77,4.8,80,5,20,1.3,118,7.4,15,0.9,16,1,56,3.5,31,1.9,1178,73.8,1119,70.1,14,0.9,0,0,0,0,45,2.8,20,1.3,7,0.4,13,0.8
Birmingham 106D,E01008930,1968,100,174,8.8,1,0.1,53,2.7,48,2.4,46,2.3,26,1.3,200,10.2,118,6,65,3.3,17,0.9,134,6.8,25,1.3,12,0.6,74,3.8,23,1.2,1391,70.7,1278,64.9,25,1.3,0,0,1,0.1,87,4.4,69,3.5,21,1.1,48,2.4
Birmingham 106E,E01009495,1314,100,144,11,27,2.1,2,0.2,28,2.1,44,3.3,43,3.3,86,6.5,20,1.5,44,3.3,22,1.7,101,7.7,15,1.1,8,0.6,60,4.6,18,1.4,954,72.6,915,69.6,16,1.2,0,0,2,0.2,21,1.6,29,2.2,8,0.6,21,1.6
Birmingham 106F,E01033629,2549,100,206,8.1,12,0.5,27,1.1,52,2,58,2.3,57,2.2,284,11.1,143,5.6,81,3.2,60,2.4,208,8.2,41,1.6,18,0.7,117,4.6,32,1.3,1777,69.7,1655,64.9,29,1.1,0,0,2,0.1,91,3.6,74,2.9,24,0.9,50,2
Birmingham 107A,E01008953,1574,100,269,17.1,37,2.4,12,0.8,83,5.3,109,6.9,28,1.8,193,12.3,112,7.1,62,3.9,19,1.2,91,5.8,23,1.5,5,0.3,38,2.4,25,1.6,981,62.3,867,55.1,37,2.4,5,0.3,0,0,72,4.6,40,2.5,15,1,25,1.6
Birmingham 107B,E01008963,1492,100,269,18,50,3.4,13,0.9,49,3.3,144,9.7,13,0.9,47,3.2,12,0.8,26,1.7,9,0.6,68,4.6,14,0.9,1,0.1,35,2.3,18,1.2,1082,72.5,975,65.3,36,2.4,3,0.2,1,0.1,67,4.5,26,1.7,12,0.8,14,0.9
Birmingham 107C,E01008964,1450,100,233,16.1,51,3.5,5,0.3,35,2.4,126,8.7,16,1.1,62,4.3,20,1.4,34,2.3,8,0.6,90,6.2,28,1.9,3,0.2,44,3,15,1,1016,70.1,895,61.7,38,2.6,7,0.5,1,0.1,75,5.2,49,3.4,20,1.4,29,2
Birmingham 107D,E01008965,1462,100,263,18,30,2.1,17,1.2,62,4.2,126,8.6,28,1.9,45,3.1,12,0.8,24,1.6,9,0.6,79,5.4,18,1.2,3,0.2,31,2.1,27,1.8,1038,71,923,63.1,42,2.9,0,0,0,0,73,5,37,2.5,3,0.2,34,2.3
Birmingham 107E,E01008966,1750,100,479,27.4,87,5,27,1.5,86,4.9,254,14.5,25,1.4,123,7,38,2.2,63,3.6,22,1.3,134,7.7,35,2,9,0.5,72,4.1,18,1,922,52.7,821,46.9,36,2.1,0,0,4,0.2,61,3.5,92,5.3,30,1.7,62,3.5
Birmingham 108A,E01009032,1902,100,1098,57.7,82,4.3,19,1,311,16.4,613,32.2,73,3.8,40,2.1,18,0.9,15,0.8,7,0.4,40,2.1,9,0.5,6,0.3,15,0.8,10,0.5,619,32.5,517,27.2,58,3,0,0,0,0,44,2.3,105,5.5,24,1.3,81,4.3
Birmingham 108B,E01009034,1771,100,987,55.7,47,2.7,1,0.1,206,11.6,669,37.8,64,3.6,58,3.3,28,1.6,20,1.1,10,0.6,44,2.5,14,0.8,3,0.2,13,0.7,14,0.8,552,31.2,455,25.7,73,4.1,0,0,0,0,24,1.4,130,7.3,45,2.5,85,4.8
Birmingham 108C,E01009035,1890,100,969,51.3,70,3.7,13,0.7,238,12.6,588,31.1,60,3.2,58,3.1,31,1.6,18,1,9,0.5,71,3.8,26,1.4,4,0.2,20,1.1,21,1.1,710,37.6,583,30.8,72,3.8,0,0,4,0.2,51,2.7,82,4.3,24,1.3,58,3.1
Birmingham 108D,E01009036,1582,100,788,49.8,33,2.1,16,1,319,20.2,354,22.4,66,4.2,28,1.8,12,0.8,13,0.8,3,0.2,70,4.4,16,1,0,0,9,0.6,45,2.8,633,40,508,32.1,93,5.9,0,0,2,0.1,30,1.9,63,4,22,1.4,41,2.6
Birmingham 109A,E01009494,1688,100,168,10,38,2.3,5,0.3,11,0.7,85,5,29,1.7,221,13.1,76,4.5,76,4.5,69,4.1,162,9.6,11,0.7,15,0.9,90,5.3,46,2.7,1070,63.4,1035,61.3,11,0.7,0,0,0,0,24,1.4,67,4,27,1.6,40,2.4
Birmingham 109B,E01009496,1472,100,119,8.1,17,1.2,33,2.2,29,2,14,1,26,1.8,68,4.6,36,2.4,20,1.4,12,0.8,59,4,12,0.8,10,0.7,22,1.5,15,1,1171,79.6,1110,75.4,16,1.1,0,0,0,0,45,3.1,55,3.7,20,1.4,35,2.4
Birmingham 109C,E01009497,1793,100,209,11.7,5,0.3,77,4.3,47,2.6,21,1.2,59,3.3,170,9.5,98,5.5,52,2.9,20,1.1,79,4.4,13,0.7,2,0.1,41,2.3,23,1.3,1296,72.3,1209,67.4,22,1.2,0,0,0,0,65,3.6,39,2.2,7,0.4,32,1.8
Birmingham 109D,E01009504,1630,100,224,13.7,7,0.4,71,4.4,63,3.9,45,2.8,38,2.3,68,4.2,40,2.5,19,1.2,9,0.6,65,4,22,1.3,8,0.5,20,1.2,15,0.9,1169,71.7,1099,67.4,15,0.9,1,0.1,1,0.1,53,3.3,104,6.4,61,3.7,43,2.6
Birmingham 109E,E01009506,1494,100,198,13.3,0,0,50,3.3,51,3.4,33,2.2,64,4.3,38,2.5,20,1.3,13,0.9,5,0.3,77,5.2,12,0.8,5,0.3,23,1.5,37,2.5,1054,70.5,950,63.6,12,0.8,0,0,2,0.1,90,6,127,8.5,50,3.3,77,5.2
Birmingham 110A,E01008967,1588,100,377,23.7,23,1.4,48,3,132,8.3,147,9.3,27,1.7,70,4.4,19,1.2,45,2.8,6,0.4,60,3.8,27,1.7,1,0.1,23,1.4,9,0.6,1049,66.1,953,60,55,3.5,0,0,0,0,41,2.6,32,2,8,0.5,24,1.5
Birmingham 110B,E01008968,1806,100,334,18.5,13,0.7,12,0.7,133,7.4,146,8.1,30,1.7,86,4.8,57,3.2,21,1.2,8,0.4,100,5.5,38,2.1,2,0.1,27,1.5,33,1.8,1269,70.3,1132,62.7,78,4.3,0,0,0,0,59,3.3,17,0.9,8,0.4,9,0.5
Birmingham 110C,E01008970,1458,100,316,21.7,13,0.9,24,1.6,109,7.5,142,9.7,28,1.9,132,9.1,60,4.1,53,3.6,19,1.3,100,6.9,17,1.2,3,0.2,50,3.4,30,2.1,858,58.8,784,53.8,21,1.4,0,0,0,0,53,3.6,52,3.6,32,2.2,20,1.4
Birmingham 110D,E01008981,1538,100,300,19.5,11,0.7,15,1,95,6.2,148,9.6,31,2,47,3.1,17,1.1,26,1.7,4,0.3,69,4.5,30,2,8,0.5,23,1.5,8,0.5,1067,69.4,968,62.9,39,2.5,0,0,0,0,60,3.9,55,3.6,21,1.4,34,2.2
Birmingham 111A,E01008932,1607,100,457,28.4,33,2.1,7,0.4,63,3.9,323,20.1,31,1.9,104,6.5,73,4.5,22,1.4,9,0.6,69,4.3,14,0.9,5,0.3,38,2.4,12,0.7,902,56.1,798,49.7,33,2.1,0,0,6,0.4,65,4,75,4.7,61,3.8,14,0.9
Birmingham 111B,E01008935,1771,100,459,25.9,20,1.1,17,1,82,4.6,280,15.8,60,3.4,107,6,62,3.5,34,1.9,11,0.6,140,7.9,33,1.9,10,0.6,73,4.1,24,1.4,989,55.8,881,49.7,31,1.8,0,0,8,0.5,69,3.9,76,4.3,32,1.8,44,2.5
Birmingham 111C,E01008936,1646,100,510,31,29,1.8,18,1.1,141,8.6,291,17.7,31,1.9,85,5.2,47,2.9,37,2.2,1,0.1,88,5.3,37,2.2,2,0.1,33,2,16,1,880,53.5,803,48.8,46,2.8,0,0,0,0,31,1.9,83,5,36,2.2,47,2.9
Birmingham 111D,E01008938,1691,100,574,33.9,92,5.4,8,0.5,53,3.1,379,22.4,42,2.5,99,5.9,46,2.7,42,2.5,11,0.7,93,5.5,15,0.9,1,0.1,39,2.3,38,2.2,888,52.5,821,48.6,32,1.9,0,0,1,0.1,34,2,37,2.2,21,1.2,16,0.9
Birmingham 111E,E01008939,1663,100,428,25.7,31,1.9,6,0.4,94,5.7,257,15.5,40,2.4,79,4.8,14,0.8,58,3.5,7,0.4,91,5.5,12,0.7,6,0.4,53,3.2,20,1.2,1009,60.7,920,55.3,42,2.5,0,0,1,0.1,46,2.8,56,3.4,25,1.5,31,1.9
Birmingham 112A,E01008951,1412,100,55,3.9,6,0.4,6,0.4,20,1.4,17,1.2,6,0.4,17,1.2,3,0.2,14,1,0,0,79,5.6,33,2.3,8,0.6,23,1.6,15,1.1,1248,88.4,1142,80.9,42,3,0,0,0,0,64,4.5,13,0.9,7,0.5,6,0.4
Birmingham 112B,E01008952,1765,100,161,9.1,44,2.5,20,1.1,32,1.8,35,2,30,1.7,108,6.1,32,1.8,61,3.5,15,0.8,82,4.6,13,0.7,8,0.5,44,2.5,17,1,1364,77.3,1228,69.6,43,2.4,0,0,0,0,93,5.3,50,2.8,21,1.2,29,1.6
Birmingham 112C,E01008955,1672,100,117,7,22,1.3,11,0.7,27,1.6,43,2.6,14,0.8,51,3.1,18,1.1,26,1.6,7,0.4,84,5,24,1.4,5,0.3,30,1.8,25,1.5,1376,82.3,1239,74.1,33,2,3,0.2,0,0,101,6,44,2.6,11,0.7,33,2
Birmingham 112D,E01008956,1417,100,57,4,16,1.1,15,1.1,12,0.8,8,0.6,6,0.4,29,2,8,0.6,13,0.9,8,0.6,79,5.6,33,2.3,3,0.2,24,1.7,19,1.3,1240,87.5,1124,79.3,49,3.5,0,0,1,0.1,66,4.7,12,0.8,3,0.2,9,0.6
Birmingham 112E,E01008957,1600,100,135,8.4,34,2.1,4,0.2,22,1.4,62,3.9,13,0.8,131,8.2,62,3.9,50,3.1,19,1.2,126,7.9,23,1.4,8,0.5,70,4.4,25,1.6,1186,74.1,1088,68,45,2.8,0,0,0,0,53,3.3,22,1.4,4,0.2,18,1.1
Birmingham 113A,E01008950,1429,100,65,4.5,13,0.9,11,0.8,20,1.4,7,0.5,14,1,48,3.4,1,0.1,24,1.7,23,1.6,85,5.9,20,1.4,5,0.3,49,3.4,11,0.8,1195,83.6,1128,78.9,20,1.4,0,0,0,0,47,3.3,36,2.5,26,1.8,10,0.7
Birmingham 113B,E01008954,1433,100,98,6.8,2,0.1,16,1.1,62,4.3,8,0.6,10,0.7,50,3.5,16,1.1,31,2.2,3,0.2,72,5,13,0.9,5,0.3,48,3.3,6,0.4,1196,83.5,1138,79.4,18,1.3,0,0,0,0,40,2.8,17,1.2,4,0.3,13,0.9
Birmingham 113C,E01008958,1547,100,56,3.6,0,0,8,0.5,9,0.6,10,0.6,29,1.9,90,5.8,28,1.8,43,2.8,19,1.2,101,6.5,12,0.8,5,0.3,69,4.5,15,1,1275,82.4,1213,78.4,27,1.7,0,0,0,0,35,2.3,25,1.6,9,0.6,16,1
Birmingham 113D,E01009493,1884,100,347,18.4,16,0.8,53,2.8,169,9,52,2.8,57,3,226,12,131,7,71,3.8,24,1.3,148,7.9,29,1.5,13,0.7,76,4,30,1.6,1079,57.3,972,51.6,30,1.6,2,0.1,5,0.3,70,3.7,84,4.5,29,1.5,55,2.9
Birmingham 115A,E01008937,1607,100,545,33.9,27,1.7,9,0.6,121,7.5,338,21,50,3.1,67,4.2,21,1.3,38,2.4,8,0.5,56,3.5,12,0.7,3,0.2,21,1.3,20,1.2,789,49.1,713,44.4,47,2.9,1,0.1,0,0,28,1.7,150,9.3,30,1.9,120,7.5
Birmingham 115B,E01008940,1608,100,371,23.1,17,1.1,4,0.2,61,3.8,270,16.8,19,1.2,86,5.3,42,2.6,32,2,12,0.7,88,5.5,22,1.4,3,0.2,38,2.4,25,1.6,982,61.1,892,55.5,44,2.7,0,0,0,0,46,2.9,81,5,43,2.7,38,2.4
Birmingham 115C,E01008941,1593,100,406,25.5,35,2.2,0,0,50,3.1,263,16.5,58,3.6,82,5.1,31,1.9,30,1.9,21,1.3,92,5.8,19,1.2,8,0.5,52,3.3,13,0.8,955,59.9,891,55.9,19,1.2,0,0,5,0.3,40,2.5,58,3.6,25,1.6,33,2.1
Birmingham 115D,E01008944,1743,100,192,11,25,1.4,1,0.1,34,2,111,6.4,21,1.2,122,7,69,4,40,2.3,13,0.7,98,5.6,14,0.8,5,0.3,56,3.2,23,1.3,1299,74.5,1197,68.7,65,3.7,0,0,0,0,37,2.1,32,1.8,13,0.7,19,1.1
Birmingham 116A,E01008959,1736,100,67,3.9,1,0.1,12,0.7,11,0.6,12,0.7,31,1.8,75,4.3,23,1.3,38,2.2,14,0.8,100,5.8,30,1.7,2,0.1,56,3.2,12,0.7,1464,84.3,1374,79.1,26,1.5,0,0,0,0,64,3.7,30,1.7,13,0.7,17,1
Birmingham 116B,E01008960,1549,100,53,3.4,5,0.3,18,1.2,10,0.6,8,0.5,12,0.8,34,2.2,18,1.2,14,0.9,2,0.1,64,4.1,27,1.7,3,0.2,22,1.4,12,0.8,1369,88.4,1246,80.4,45,2.9,0,0,0,0,78,5,29,1.9,6,0.4,23,1.5
Birmingham 116C,E01008961,1411,100,56,4,6,0.4,10,0.7,20,1.4,9,0.6,11,0.8,57,4,15,1.1,23,1.6,19,1.3,84,6,17,1.2,2,0.1,47,3.3,18,1.3,1206,85.5,1097,77.7,50,3.5,0,0,3,0.2,56,4,8,0.6,1,0.1,7,0.5
Birmingham 116D,E01008962,2094,100,172,8.2,39,1.9,5,0.2,17,0.8,57,2.7,54,2.6,350,16.7,206,9.8,108,5.2,36,1.7,142,6.8,17,0.8,15,0.7,91,4.3,19,0.9,1338,63.9,1260,60.2,31,1.5,0,0,3,0.1,44,2.1,92,4.4,46,2.2,46,2.2
Birmingham 117A,E01008942,1612,100,193,12,24,1.5,7,0.4,52,3.2,102,6.3,8,0.5,75,4.7,43,2.7,21,1.3,11,0.7,103,6.4,17,1.1,9,0.6,62,3.8,15,0.9,1196,74.2,1138,70.6,25,1.6,0,0,1,0.1,32,2,45,2.8,28,1.7,17,1.1
Birmingham 117B,E01008943,1456,100,178,12.2,9,0.6,3,0.2,50,3.4,79,5.4,37,2.5,157,10.8,55,3.8,77,5.3,25,1.7,79,5.4,16,1.1,0,0,49,3.4,14,1,1017,69.8,962,66.1,25,1.7,0,0,0,0,30,2.1,25,1.7,13,0.9,12,0.8
Birmingham 117C,E01008969,1664,100,250,15,27,1.6,12,0.7,56,3.4,140,8.4,15,0.9,64,3.8,23,1.4,33,2,8,0.5,73,4.4,18,1.1,5,0.3,29,1.7,21,1.3,1242,74.6,1132,68,71,4.3,0,0,1,0.1,38,2.3,35,2.1,20,1.2,15,0.9
Birmingham 117D,E01008971,1738,100,301,17.3,8,0.5,56,3.2,84,4.8,129,7.4,24,1.4,114,6.6,48,2.8,57,3.3,9,0.5,88,5.1,19,1.1,7,0.4,44,2.5,18,1,1178,67.8,1082,62.3,40,2.3,1,0.1,0,0,55,3.2,57,3.3,17,1,40,2.3
Birmingham 118A,E01008972,1872,100,280,15,17,0.9,7,0.4,73,3.9,144,7.7,39,2.1,173,9.2,59,3.2,93,5,21,1.1,143,7.6,29,1.5,11,0.6,62,3.3,41,2.2,1217,65,1145,61.2,44,2.4,0,0,0,0,28,1.5,59,3.2,27,1.4,32,1.7
Birmingham 118B,E01008973,1922,100,256,13.3,14,0.7,10,0.5,76,4,107,5.6,49,2.5,127,6.6,26,1.4,75,3.9,26,1.4,102,5.3,19,1,7,0.4,55,2.9,21,1.1,1404,73,1277,66.4,82,4.3,0,0,0,0,45,2.3,33,1.7,6,0.3,27,1.4
Birmingham 118C,E01008974,2797,100,505,18.1,11,0.4,35,1.3,127,4.5,281,10,51,1.8,184,6.6,75,2.7,69,2.5,40,1.4,147,5.3,28,1,15,0.5,80,2.9,24,0.9,1896,67.8,1735,62,80,2.9,0,0,0,0,81,2.9,65,2.3,15,0.5,50,1.8
Birmingham 118D,E01008975,1479,100,70,4.7,7,0.5,3,0.2,27,1.8,21,1.4,12,0.8,32,2.2,8,0.5,24,1.6,0,0,72,4.9,21,1.4,6,0.4,28,1.9,17,1.1,1297,87.7,1228,83,41,2.8,0,0,0,0,28,1.9,8,0.5,0,0,8,0.5
Birmingham 119A,E01009172,1466,100,106,7.2,0,0,12,0.8,5,0.3,48,3.3,41,2.8,134,9.1,70,4.8,48,3.3,16,1.1,69,4.7,8,0.5,7,0.5,35,2.4,19,1.3,1082,73.8,1019,69.5,18,1.2,1,0.1,0,0,44,3,75,5.1,36,2.5,39,2.7
Birmingham 119B,E01009173,1754,100,137,7.8,0,0,12,0.7,21,1.2,35,2,69,3.9,141,8,80,4.6,33,1.9,28,1.6,137,7.8,11,0.6,16,0.9,83,4.7,27,1.5,1282,73.1,1197,68.2,16,0.9,0,0,0,0,69,3.9,57,3.2,16,0.9,41,2.3
Birmingham 119C,E01009174,1220,100,26,2.1,0,0,10,0.8,3,0.2,8,0.7,5,0.4,59,4.8,26,2.1,29,2.4,4,0.3,94,7.7,16,1.3,9,0.7,62,5.1,7,0.6,1040,85.2,1000,82,14,1.1,0,0,0,0,26,2.1,1,0.1,0,0,1,0.1
Birmingham 119D,E01009498,1703,100,88,5.2,0,0,10,0.6,16,0.9,6,0.4,56,3.3,142,8.3,78,4.6,44,2.6,20,1.2,135,7.9,36,2.1,4,0.2,73,4.3,22,1.3,1311,77,1186,69.6,16,0.9,2,0.1,12,0.7,95,5.6,27,1.6,14,0.8,13,0.8
Birmingham 119E,E01009499,1744,100,178,10.2,0,0,25,1.4,40,2.3,30,1.7,83,4.8,144,8.3,75,4.3,62,3.6,7,0.4,109,6.2,17,1,9,0.5,48,2.8,35,2,1249,71.6,1155,66.2,37,2.1,3,0.2,0,0,54,3.1,64,3.7,24,1.4,40,2.3
Birmingham 120A,E01009205,1537,100,68,4.4,4,0.3,8,0.5,18,1.2,18,1.2,20,1.3,41,2.7,17,1.1,22,1.4,2,0.1,82,5.3,14,0.9,14,0.9,44,2.9,10,0.7,1310,85.2,1248,81.2,42,2.7,0,0,0,0,20,1.3,36,2.3,13,0.8,23,1.5
