"Code","White_British","Low_Occupancy","Unemployed","Qualification"
"E01009490",13.2,15.4,5.9,20.6
"E01009491",2.8,15.4,5,16.7
"E01009492",9.4,13.6,5.5,17.1
"E01009493",51.6,7.9,5.1,38.9
"E01009494",61.3,7.9,8.9,19.8
"E01009495",69.6,8.8,7,24.9
"E01009496",75.4,1.9,2.5,34.5
"E01009497",67.4,3.6,3.2,31.8
"E01009498",69.6,9.3,7.1,24.7
"E01009499",66.2,6.8,5,24.4
"E01009500",58.7,8,5.1,29.3
"E01009501",64.3,10,8.9,25.4
"E01009502",66,9.5,5,22.6
"E01009503",65.1,8.7,6.6,21.2
"E01009504",67.4,2.3,2,48.2
"E01009505",65.7,5.1,5.9,27
"E01009506",63.6,1.5,2.8,44.3
"E01009507",32.4,12.9,6.2,23
"E01009508",37.1,8.1,4.9,23.4
"E01009509",19.7,9.7,4.7,25.9
"E01009510",47.6,13.4,4.3,20
"E01009511",35.7,9.3,6.7,22.3
"E01009512",56.6,9.3,5.4,18.8
"E01009513",24.1,10.3,5.1,24.6
"E01009514",50.2,7.5,6.7,19
"E01009515",48.7,6,3.4,27.5
"E01009516",51.7,7.2,4.1,25.6
"E01009517",54,6,4.9,20.8
"E01009518",50.8,4,3.3,29.1
"E01009519",74.3,1.8,2.9,23.1
"E01009520",60.7,2.8,3.9,27.7
"E01009521",49,5,3.4,28.4
"E01032589",39.7,2.2,2.1,32
"E01032591",8.9,6.2,3,35.3
"E01033557",35.8,10.3,3.6,56.9
"E01033559",54.1,5.7,6.5,65.9
"E01033561",32.8,14.2,1.9,21.6
"E01033562",41.4,7.8,3.4,47.1
"E01033564",26.1,21.8,5,65.4
"E01033565",43.9,4.6,3.2,69.4
"E01033567",21.1,14.2,4,67.8
"E01033615",23.4,10.6,3.4,66.7
"E01033616",29.2,6.8,8.2,45.7
"E01033617",30.4,15,1.4,28
"E01033618",43.6,10.9,2.6,77.3
"E01033620",31.5,14.2,6.4,61.2
"E01033622",40,10.1,3.5,67.7
"E01033623",51.2,9.7,6.2,62.1
"E01033624",27.1,8.6,5.3,61.2
"E01033625",27,4.5,4.4,74.9
"E01033626",24.8,11,6.6,54.9
"E01033627",24.7,10.8,5.8,41.6
"E01033629",64.9,7.7,5.4,23.8
"E01033630",33.8,6.9,5.4,36.6
"E01033638",9.2,18.8,8.8,23.6
"E01033640",19.5,9.8,8.7,48.8
"E01033642",4.3,12.9,6.2,21.2
"E01033643",2.4,12.3,5.7,17.8
"E01033646",32.2,10.5,9.3,27.5
"E01033648",10.8,12.1,6.3,22.8
"E01033649",4.6,15.8,5,16.7
"E01033650",2.5,14.1,6.5,18.1
"E01034913",44.1,5.3,4,29
"E01034914",44.7,9.1,4.9,23.2
"E01034915",31.7,17.1,6.3,28.7
"E01034916",52.8,3.8,4,39.2
"E01034917",4.7,9.7,6,25.7
"E01034918",4.4,18.8,6.8,24.3
"E01034919",2.5,9.5,9.3,17.4
"E01034920",1.5,14.7,7.8,20.2
"E01034921",1.6,13.3,6,19.7
"E01034922",3.3,6.9,8,20.2
"E01034923",4.9,15.6,8.2,17.4
"E01034924",3.1,13.4,7.2,19.8
"E01034925",5.4,13.8,4.5,27.2
"E01034926",6.9,14.7,8,18.1
"E01034927",11.9,15.6,8.1,21.7
"E01034928",8.6,21.4,11.7,21.9
"E01034929",5.8,21.9,7.8,17.8
"E01034930",21.1,12.3,4.8,32.5
"E01034931",0.9,12.4,4.3,20.3
"E01034932",6.8,19,7.5,22.6
"E01034933",0.9,14.4,6,19.8
"E01034934",4.7,15.2,9.2,20.5
"E01034935",5.8,13.5,6,17.2
"E01034936",62.1,1,0.5,22.3
"E01034937",43.2,3.8,1,36.7
"E01034938",10.4,12,5.8,24.5
"E01034939",14.5,12.1,4.9,25.7
"E01034940",46.6,24.8,0.9,26.7
"E01034941",75.7,26.7,1.5,13.3
"E01034942",61,7.3,4.7,38.9
"E01034943",74.2,7.5,4.4,13.9
"E01034944",74,3.5,2.4,29.9
"E01034945",76.1,5.5,5.2,29.6
"E01034946",33.6,7,6.5,47.6
"E01034947",18.2,21.2,5.8,40.2
"E01034948",19.2,8.5,5.9,50.4
