﻿Geography Name,Geography Code,Attribute Tier 1,Attribute Tier 2,Attribute Tier 3,Value,Value as a Percentage of Geography Total,geom,centroid
Bartley Green,E05011123,Economically active (excluding full-time students),In employment,Self-employed without employees,899,5.11,"{""coordinates"": [[[[-1.977941512, 52.448470134], [-1.976930704, 52.448499602], [-1.973634331, 52.446886125], [-1.972295695, 52.446462424], [-1.970658148, 52.446462033], [-1.974823899, 52.445593628], [-1.97692515, 52.444927903], [-1.976763545, 52.444513371], [-1.977729353, 52.443316159], [-1.978752178, 52.442508104], [-1.979079323, 52.441201926], [-1.978051808, 52.439779479], [-1.97671663, 52.438637551], [-1.97612728, 52.437529822], [-1.9764728, 52.435032457], [-1.976377606, 52.434328541], [-1.975587077, 52.43287556], [-1.975160303, 52.430730525], [-1.975639417, 52.428519978], [-1.97535955, 52.426759635], [-1.978292542, 52.425595068], [-1.980160394, 52.42510908], [-1.980038633, 52.424353843], [-1.979315496, 52.423594098], [-1.97842599, 52.423435673], [-1.975145447, 52.420381182], [-1.978788001, 52.419655425], [-1.983573231, 52.418130552], [-1.984527626, 52.417593137], [-1.98507197, 52.416793949], [-1.986043876, 52.416711381], [-1.988225776, 52.416974138], [-1.98870369, 52.416353867], [-1.989796235, 52.41611301], [-1.991048999, 52.415398424], [-1.997068116, 52.417411549], [-1.997016683, 52.417927609], [-1.999530878, 52.419050447], [-2.000374923, 52.420229062], [-2.002049729, 52.420973384], [-2.001426352, 52.421863425], [-2.002826237, 52.422316545], [-2.00165579, 52.422984518], [-2.003398513, 52.425377571], [-2.004323638, 52.426356633], [-2.004663614, 52.428357769], [-2.006090054, 52.427989125], [-2.007303379, 52.428078928], [-2.009747349, 52.426507288], [-2.011759503, 52.427630893], [-2.013184844, 52.42870591], [-2.013789591, 52.42953745], [-2.01546583, 52.428596881], [-2.015515279, 52.430903686], [-2.015286285, 52.432159624], [-2.015629144, 52.432582079], [-2.016996992, 52.432668256], [-2.017045709, 52.436914192], [-2.017206517, 52.438111657], [-2.017007513, 52.440659448], [-2.01728722, 52.441280619], [-2.017440958, 52.443241297], [-2.017072064, 52.444118795], [-2.016384585, 52.446859973], [-2.015274025, 52.447644008], [-2.01323935, 52.448341053], [-2.013517929, 52.449643659], [-2.013044278, 52.450358394], [-2.011434588, 52.450277678], [-2.008278212, 52.449593824], [-2.008003002, 52.449266612], [-2.005940182, 52.449596667], [-2.004474585, 52.448846912], [-2.003091475, 52.448934139], [-2.002263116, 52.448662738], [-1.998943699, 52.448623218], [-1.997851977, 52.448850587], [-1.99653948, 52.448637557], [-1.993200985, 52.448854017], [-1.991966434, 52.449112871], [-1.989999361, 52.448253256], [-1.988632477, 52.448417696], [-1.987443646, 52.448245829], [-1.986791713, 52.448627905], [-1.983905098, 52.448095317], [-1.980429803, 52.448165803], [-1.977941512, 52.448470134]]]], ""type"": ""MultiPolygon""}","52.434738732, -1.995049938"
Bartley Green,E05011123,Economically active and a full-time student,In employment,Self-employed without employees,15,0.09,"{""coordinates"": [[[[-1.977941512, 52.448470134], [-1.976930704, 52.448499602], [-1.973634331, 52.446886125], [-1.972295695, 52.446462424], [-1.970658148, 52.446462033], [-1.974823899, 52.445593628], [-1.97692515, 52.444927903], [-1.976763545, 52.444513371], [-1.977729353, 52.443316159], [-1.978752178, 52.442508104], [-1.979079323, 52.441201926], [-1.978051808, 52.439779479], [-1.97671663, 52.438637551], [-1.97612728, 52.437529822], [-1.9764728, 52.435032457], [-1.976377606, 52.434328541], [-1.975587077, 52.43287556], [-1.975160303, 52.430730525], [-1.975639417, 52.428519978], [-1.97535955, 52.426759635], [-1.978292542, 52.425595068], [-1.980160394, 52.42510908], [-1.980038633, 52.424353843], [-1.979315496, 52.423594098], [-1.97842599, 52.423435673], [-1.975145447, 52.420381182], [-1.978788001, 52.419655425], [-1.983573231, 52.418130552], [-1.984527626, 52.417593137], [-1.98507197, 52.416793949], [-1.986043876, 52.416711381], [-1.988225776, 52.416974138], [-1.98870369, 52.416353867], [-1.989796235, 52.41611301], [-1.991048999, 52.415398424], [-1.997068116, 52.417411549], [-1.997016683, 52.417927609], [-1.999530878, 52.419050447], [-2.000374923, 52.420229062], [-2.002049729, 52.420973384], [-2.001426352, 52.421863425], [-2.002826237, 52.422316545], [-2.00165579, 52.422984518], [-2.003398513, 52.425377571], [-2.004323638, 52.426356633], [-2.004663614, 52.428357769], [-2.006090054, 52.427989125], [-2.007303379, 52.428078928], [-2.009747349, 52.426507288], [-2.011759503, 52.427630893], [-2.013184844, 52.42870591], [-2.013789591, 52.42953745], [-2.01546583, 52.428596881], [-2.015515279, 52.430903686], [-2.015286285, 52.432159624], [-2.015629144, 52.432582079], [-2.016996992, 52.432668256], [-2.017045709, 52.436914192], [-2.017206517, 52.438111657], [-2.017007513, 52.440659448], [-2.01728722, 52.441280619], [-2.017440958, 52.443241297], [-2.017072064, 52.444118795], [-2.016384585, 52.446859973], [-2.015274025, 52.447644008], [-2.01323935, 52.448341053], [-2.013517929, 52.449643659], [-2.013044278, 52.450358394], [-2.011434588, 52.450277678], [-2.008278212, 52.449593824], [-2.008003002, 52.449266612], [-2.005940182, 52.449596667], [-2.004474585, 52.448846912], [-2.003091475, 52.448934139], [-2.002263116, 52.448662738], [-1.998943699, 52.448623218], [-1.997851977, 52.448850587], [-1.99653948, 52.448637557], [-1.993200985, 52.448854017], [-1.991966434, 52.449112871], [-1.989999361, 52.448253256], [-1.988632477, 52.448417696], [-1.987443646, 52.448245829], [-1.986791713, 52.448627905], [-1.983905098, 52.448095317], [-1.980429803, 52.448165803], [-1.977941512, 52.448470134]]]], ""type"": ""MultiPolygon""}","52.434738732, -1.995049938"
Bartley Green,E05011123,Economically inactive,Other,,702,3.99,"{""coordinates"": [[[[-1.977941512, 52.448470134], [-1.976930704, 52.448499602], [-1.973634331, 52.446886125], [-1.972295695, 52.446462424], [-1.970658148, 52.446462033], [-1.974823899, 52.445593628], [-1.97692515, 52.444927903], [-1.976763545, 52.444513371], [-1.977729353, 52.443316159], [-1.978752178, 52.442508104], [-1.979079323, 52.441201926], [-1.978051808, 52.439779479], [-1.97671663, 52.438637551], [-1.97612728, 52.437529822], [-1.9764728, 52.435032457], [-1.976377606, 52.434328541], [-1.975587077, 52.43287556], [-1.975160303, 52.430730525], [-1.975639417, 52.428519978], [-1.97535955, 52.426759635], [-1.978292542, 52.425595068], [-1.980160394, 52.42510908], [-1.980038633, 52.424353843], [-1.979315496, 52.423594098], [-1.97842599, 52.423435673], [-1.975145447, 52.420381182], [-1.978788001, 52.419655425], [-1.983573231, 52.418130552], [-1.984527626, 52.417593137], [-1.98507197, 52.416793949], [-1.986043876, 52.416711381], [-1.988225776, 52.416974138], [-1.98870369, 52.416353867], [-1.989796235, 52.41611301], [-1.991048999, 52.415398424], [-1.997068116, 52.417411549], [-1.997016683, 52.417927609], [-1.999530878, 52.419050447], [-2.000374923, 52.420229062], [-2.002049729, 52.420973384], [-2.001426352, 52.421863425], [-2.002826237, 52.422316545], [-2.00165579, 52.422984518], [-2.003398513, 52.425377571], [-2.004323638, 52.426356633], [-2.004663614, 52.428357769], [-2.006090054, 52.427989125], [-2.007303379, 52.428078928], [-2.009747349, 52.426507288], [-2.011759503, 52.427630893], [-2.013184844, 52.42870591], [-2.013789591, 52.42953745], [-2.01546583, 52.428596881], [-2.015515279, 52.430903686], [-2.015286285, 52.432159624], [-2.015629144, 52.432582079], [-2.016996992, 52.432668256], [-2.017045709, 52.436914192], [-2.017206517, 52.438111657], [-2.017007513, 52.440659448], [-2.01728722, 52.441280619], [-2.017440958, 52.443241297], [-2.017072064, 52.444118795], [-2.016384585, 52.446859973], [-2.015274025, 52.447644008], [-2.01323935, 52.448341053], [-2.013517929, 52.449643659], [-2.013044278, 52.450358394], [-2.011434588, 52.450277678], [-2.008278212, 52.449593824], [-2.008003002, 52.449266612], [-2.005940182, 52.449596667], [-2.004474585, 52.448846912], [-2.003091475, 52.448934139], [-2.002263116, 52.448662738], [-1.998943699, 52.448623218], [-1.997851977, 52.448850587], [-1.99653948, 52.448637557], [-1.993200985, 52.448854017], [-1.991966434, 52.449112871], [-1.989999361, 52.448253256], [-1.988632477, 52.448417696], [-1.987443646, 52.448245829], [-1.986791713, 52.448627905], [-1.983905098, 52.448095317], [-1.980429803, 52.448165803], [-1.977941512, 52.448470134]]]], ""type"": ""MultiPolygon""}","52.434738732, -1.995049938"
Billesley,E05011124,Economically inactive,Looking after home or family,,1292,7.95,"{""coordinates"": [[[[-1.857361315, 52.433708417], [-1.856399993, 52.433965286], [-1.856226517, 52.432562672], [-1.857509049, 52.429369087], [-1.856722674, 52.429253997], [-1.857588029, 52.42815111], [-1.858618331, 52.427440267], [-1.85819723, 52.426675648], [-1.858716048, 52.426304995], [-1.858538037, 52.425397677], [-1.859024907, 52.424430935], [-1.858148655, 52.423935398], [-1.858433724, 52.423058292], [-1.858389223, 52.420897918], [-1.856480431, 52.420040732], [-1.853975151, 52.417261525], [-1.854424926, 52.415965723], [-1.853585413, 52.415534008], [-1.853105135, 52.414470822], [-1.851206158, 52.413438216], [-1.850291394, 52.411803586], [-1.849440696, 52.410774877], [-1.8502597, 52.410278816], [-1.851443729, 52.410118442], [-1.853435739, 52.408782325], [-1.854275997, 52.408505559], [-1.857817563, 52.408404709], [-1.860663656, 52.408838682], [-1.86341025, 52.409601594], [-1.86448993, 52.410366951], [-1.864776165, 52.410983102], [-1.865887086, 52.413580672], [-1.86648859, 52.415465668], [-1.867644032, 52.416014483], [-1.86936116, 52.415572227], [-1.871523931, 52.416069983], [-1.873277592, 52.41568442], [-1.874628903, 52.41563373], [-1.876528133, 52.414195479], [-1.87895504, 52.414345467], [-1.882686463, 52.414893053], [-1.884200789, 52.414933189], [-1.885528579, 52.414260237], [-1.888072065, 52.41544578], [-1.890301025, 52.4166139], [-1.891302187, 52.418464088], [-1.89162198, 52.420552712], [-1.892097158, 52.421678737], [-1.892693256, 52.428104422], [-1.891114548, 52.42782608], [-1.888462987, 52.42662891], [-1.887084025, 52.427554482], [-1.882201478, 52.429200278], [-1.88013106, 52.429602729], [-1.876740944, 52.4312498], [-1.874670945, 52.432481068], [-1.8732148, 52.433006364], [-1.869513539, 52.434706819], [-1.864531328, 52.433849037], [-1.865072968, 52.433242821], [-1.860370887, 52.432697047], [-1.859350302, 52.433106658], [-1.857746869, 52.433173138], [-1.857361315, 52.433708417]]]], ""type"": ""MultiPolygon""}","52.421861919, -1.870960643"
Birchfield,E05011125,Economically active (excluding full-time students),In employment,Self-employed with employees,152,1.62,"{""coordinates"": [[[[-1.901363581, 52.516303607], [-1.902428255, 52.511976725], [-1.903379327, 52.509674317], [-1.903470209, 52.508501183], [-1.90593159, 52.508120208], [-1.916230063, 52.502797797], [-1.918804823, 52.502154113], [-1.918824187, 52.503647376], [-1.92035215, 52.50598575], [-1.923400609, 52.50585654], [-1.926299443, 52.506210769], [-1.925103982, 52.509175755], [-1.923322202, 52.509392201], [-1.920655351, 52.508622751], [-1.919681626, 52.508524044], [-1.918860366, 52.510474368], [-1.919153042, 52.511526356], [-1.920429295, 52.51225717], [-1.922491661, 52.511660696], [-1.924173524, 52.512169746], [-1.924291691, 52.512832368], [-1.92293474, 52.512769483], [-1.919526982, 52.513328212], [-1.914790461, 52.514398265], [-1.911098074, 52.515728738], [-1.908530444, 52.516011775], [-1.907089578, 52.515835403], [-1.906411701, 52.51653786], [-1.904545747, 52.516729602], [-1.901363581, 52.516303607]]]], ""type"": ""MultiPolygon""}","52.510075992, -1.912855006"
Birchfield,E05011125,Economically active and a full-time student,In employment,Employee,170,1.81,"{""coordinates"": [[[[-1.901363581, 52.516303607], [-1.902428255, 52.511976725], [-1.903379327, 52.509674317], [-1.903470209, 52.508501183], [-1.90593159, 52.508120208], [-1.916230063, 52.502797797], [-1.918804823, 52.502154113], [-1.918824187, 52.503647376], [-1.92035215, 52.50598575], [-1.923400609, 52.50585654], [-1.926299443, 52.506210769], [-1.925103982, 52.509175755], [-1.923322202, 52.509392201], [-1.920655351, 52.508622751], [-1.919681626, 52.508524044], [-1.918860366, 52.510474368], [-1.919153042, 52.511526356], [-1.920429295, 52.51225717], [-1.922491661, 52.511660696], [-1.924173524, 52.512169746], [-1.924291691, 52.512832368], [-1.92293474, 52.512769483], [-1.919526982, 52.513328212], [-1.914790461, 52.514398265], [-1.911098074, 52.515728738], [-1.908530444, 52.516011775], [-1.907089578, 52.515835403], [-1.906411701, 52.51653786], [-1.904545747, 52.516729602], [-1.901363581, 52.516303607]]]], ""type"": ""MultiPolygon""}","52.510075992, -1.912855006"
Birchfield,E05011125,Economically inactive,Long-term sick or disabled,,684,7.28,"{""coordinates"": [[[[-1.901363581, 52.516303607], [-1.902428255, 52.511976725], [-1.903379327, 52.509674317], [-1.903470209, 52.508501183], [-1.90593159, 52.508120208], [-1.916230063, 52.502797797], [-1.918804823, 52.502154113], [-1.918824187, 52.503647376], [-1.92035215, 52.50598575], [-1.923400609, 52.50585654], [-1.926299443, 52.506210769], [-1.925103982, 52.509175755], [-1.923322202, 52.509392201], [-1.920655351, 52.508622751], [-1.919681626, 52.508524044], [-1.918860366, 52.510474368], [-1.919153042, 52.511526356], [-1.920429295, 52.51225717], [-1.922491661, 52.511660696], [-1.924173524, 52.512169746], [-1.924291691, 52.512832368], [-1.92293474, 52.512769483], [-1.919526982, 52.513328212], [-1.914790461, 52.514398265], [-1.911098074, 52.515728738], [-1.908530444, 52.516011775], [-1.907089578, 52.515835403], [-1.906411701, 52.51653786], [-1.904545747, 52.516729602], [-1.901363581, 52.516303607]]]], ""type"": ""MultiPolygon""}","52.510075992, -1.912855006"
Birchfield,E05011125,Economically inactive,Student,,1031,10.98,"{""coordinates"": [[[[-1.901363581, 52.516303607], [-1.902428255, 52.511976725], [-1.903379327, 52.509674317], [-1.903470209, 52.508501183], [-1.90593159, 52.508120208], [-1.916230063, 52.502797797], [-1.918804823, 52.502154113], [-1.918824187, 52.503647376], [-1.92035215, 52.50598575], [-1.923400609, 52.50585654], [-1.926299443, 52.506210769], [-1.925103982, 52.509175755], [-1.923322202, 52.509392201], [-1.920655351, 52.508622751], [-1.919681626, 52.508524044], [-1.918860366, 52.510474368], [-1.919153042, 52.511526356], [-1.920429295, 52.51225717], [-1.922491661, 52.511660696], [-1.924173524, 52.512169746], [-1.924291691, 52.512832368], [-1.92293474, 52.512769483], [-1.919526982, 52.513328212], [-1.914790461, 52.514398265], [-1.911098074, 52.515728738], [-1.908530444, 52.516011775], [-1.907089578, 52.515835403], [-1.906411701, 52.51653786], [-1.904545747, 52.516729602], [-1.901363581, 52.516303607]]]], ""type"": ""MultiPolygon""}","52.510075992, -1.912855006"
Bordesley & Highgate,E05011126,Economically active (excluding full-time students),In employment,Self-employed without employees,580,5.18,"{""coordinates"": [[[[-1.847303521, 52.478001306], [-1.852241256, 52.477285697], [-1.853615323, 52.477172364], [-1.860405972, 52.476126873], [-1.865703069, 52.474735991], [-1.868775171, 52.474392428], [-1.870482448, 52.474066176], [-1.873391103, 52.473207156], [-1.874852022, 52.4730073], [-1.876136823, 52.471066831], [-1.878324641, 52.468815324], [-1.881819555, 52.46706937], [-1.88587798, 52.46412197], [-1.886633999, 52.463189532], [-1.889743514, 52.464001601], [-1.895538465, 52.4657895], [-1.90121372, 52.467310988], [-1.901232885, 52.467315498], [-1.900000268, 52.470171472], [-1.899566979, 52.473638535], [-1.900422494, 52.47487718], [-1.897749462, 52.475914209], [-1.896876653, 52.476441103], [-1.892857964, 52.476753088], [-1.891551547, 52.478137307], [-1.893367499, 52.478544375], [-1.892804879, 52.479222596], [-1.892054655, 52.478964786], [-1.885620384, 52.480621961], [-1.881898546, 52.48102733], [-1.879053967, 52.481501782], [-1.876287037, 52.481538563], [-1.871846423, 52.481946457], [-1.866905683, 52.482141432], [-1.848940875, 52.483585294], [-1.84783536, 52.483040862], [-1.84666765, 52.478386224], [-1.847303521, 52.478001306]]]], ""type"": ""MultiPolygon""}","52.475053984, -1.877942964"
Bordesley & Highgate,E05011126,Economically active and a full-time student,Unemployed,,284,2.54,"{""coordinates"": [[[[-1.847303521, 52.478001306], [-1.852241256, 52.477285697], [-1.853615323, 52.477172364], [-1.860405972, 52.476126873], [-1.865703069, 52.474735991], [-1.868775171, 52.474392428], [-1.870482448, 52.474066176], [-1.873391103, 52.473207156], [-1.874852022, 52.4730073], [-1.876136823, 52.471066831], [-1.878324641, 52.468815324], [-1.881819555, 52.46706937], [-1.88587798, 52.46412197], [-1.886633999, 52.463189532], [-1.889743514, 52.464001601], [-1.895538465, 52.4657895], [-1.90121372, 52.467310988], [-1.901232885, 52.467315498], [-1.900000268, 52.470171472], [-1.899566979, 52.473638535], [-1.900422494, 52.47487718], [-1.897749462, 52.475914209], [-1.896876653, 52.476441103], [-1.892857964, 52.476753088], [-1.891551547, 52.478137307], [-1.893367499, 52.478544375], [-1.892804879, 52.479222596], [-1.892054655, 52.478964786], [-1.885620384, 52.480621961], [-1.881898546, 52.48102733], [-1.879053967, 52.481501782], [-1.876287037, 52.481538563], [-1.871846423, 52.481946457], [-1.866905683, 52.482141432], [-1.848940875, 52.483585294], [-1.84783536, 52.483040862], [-1.84666765, 52.478386224], [-1.847303521, 52.478001306]]]], ""type"": ""MultiPolygon""}","52.475053984, -1.877942964"
Bordesley & Highgate,E05011126,Economically inactive,Retired,,624,5.57,"{""coordinates"": [[[[-1.847303521, 52.478001306], [-1.852241256, 52.477285697], [-1.853615323, 52.477172364], [-1.860405972, 52.476126873], [-1.865703069, 52.474735991], [-1.868775171, 52.474392428], [-1.870482448, 52.474066176], [-1.873391103, 52.473207156], [-1.874852022, 52.4730073], [-1.876136823, 52.471066831], [-1.878324641, 52.468815324], [-1.881819555, 52.46706937], [-1.88587798, 52.46412197], [-1.886633999, 52.463189532], [-1.889743514, 52.464001601], [-1.895538465, 52.4657895], [-1.90121372, 52.467310988], [-1.901232885, 52.467315498], [-1.900000268, 52.470171472], [-1.899566979, 52.473638535], [-1.900422494, 52.47487718], [-1.897749462, 52.475914209], [-1.896876653, 52.476441103], [-1.892857964, 52.476753088], [-1.891551547, 52.478137307], [-1.893367499, 52.478544375], [-1.892804879, 52.479222596], [-1.892054655, 52.478964786], [-1.885620384, 52.480621961], [-1.881898546, 52.48102733], [-1.879053967, 52.481501782], [-1.876287037, 52.481538563], [-1.871846423, 52.481946457], [-1.866905683, 52.482141432], [-1.848940875, 52.483585294], [-1.84783536, 52.483040862], [-1.84666765, 52.478386224], [-1.847303521, 52.478001306]]]], ""type"": ""MultiPolygon""}","52.475053984, -1.877942964"
Bordesley & Highgate,E05011126,Economically inactive,Student,,1541,13.76,"{""coordinates"": [[[[-1.847303521, 52.478001306], [-1.852241256, 52.477285697], [-1.853615323, 52.477172364], [-1.860405972, 52.476126873], [-1.865703069, 52.474735991], [-1.868775171, 52.474392428], [-1.870482448, 52.474066176], [-1.873391103, 52.473207156], [-1.874852022, 52.4730073], [-1.876136823, 52.471066831], [-1.878324641, 52.468815324], [-1.881819555, 52.46706937], [-1.88587798, 52.46412197], [-1.886633999, 52.463189532], [-1.889743514, 52.464001601], [-1.895538465, 52.4657895], [-1.90121372, 52.467310988], [-1.901232885, 52.467315498], [-1.900000268, 52.470171472], [-1.899566979, 52.473638535], [-1.900422494, 52.47487718], [-1.897749462, 52.475914209], [-1.896876653, 52.476441103], [-1.892857964, 52.476753088], [-1.891551547, 52.478137307], [-1.893367499, 52.478544375], [-1.892804879, 52.479222596], [-1.892054655, 52.478964786], [-1.885620384, 52.480621961], [-1.881898546, 52.48102733], [-1.879053967, 52.481501782], [-1.876287037, 52.481538563], [-1.871846423, 52.481946457], [-1.866905683, 52.482141432], [-1.848940875, 52.483585294], [-1.84783536, 52.483040862], [-1.84666765, 52.478386224], [-1.847303521, 52.478001306]]]], ""type"": ""MultiPolygon""}","52.475053984, -1.877942964"
Bordesley Green,E05011127,Economically active (excluding full-time students),In employment,Self-employed with employees,122,1.35,"{""coordinates"": [[[[-1.841714892, 52.475848142], [-1.841743122, 52.474948272], [-1.844672943, 52.474528662], [-1.844882578, 52.474770788], [-1.851965395, 52.473496984], [-1.854923152, 52.472569277], [-1.85795552, 52.469461509], [-1.854276765, 52.468124751], [-1.855615741, 52.467407217], [-1.858447663, 52.466549369], [-1.859347355, 52.464597835], [-1.862328267, 52.465423863], [-1.865745447, 52.466618075], [-1.868778039, 52.467987917], [-1.869241448, 52.467568627], [-1.872567148, 52.468957568], [-1.876136823, 52.471066831], [-1.874852022, 52.4730073], [-1.873391103, 52.473207156], [-1.870482448, 52.474066176], [-1.868775171, 52.474392428], [-1.865703069, 52.474735991], [-1.860405972, 52.476126873], [-1.853615323, 52.477172364], [-1.852241256, 52.477285697], [-1.847303521, 52.478001306], [-1.842104688, 52.478426069], [-1.841317773, 52.478601171], [-1.839898297, 52.476216073], [-1.841714892, 52.475848142]]]], ""type"": ""MultiPolygon""}","52.472292963, -1.859751744"
Bordesley Green,E05011127,Economically active and a full-time student,In employment,Employee,193,2.14,"{""coordinates"": [[[[-1.841714892, 52.475848142], [-1.841743122, 52.474948272], [-1.844672943, 52.474528662], [-1.844882578, 52.474770788], [-1.851965395, 52.473496984], [-1.854923152, 52.472569277], [-1.85795552, 52.469461509], [-1.854276765, 52.468124751], [-1.855615741, 52.467407217], [-1.858447663, 52.466549369], [-1.859347355, 52.464597835], [-1.862328267, 52.465423863], [-1.865745447, 52.466618075], [-1.868778039, 52.467987917], [-1.869241448, 52.467568627], [-1.872567148, 52.468957568], [-1.876136823, 52.471066831], [-1.874852022, 52.4730073], [-1.873391103, 52.473207156], [-1.870482448, 52.474066176], [-1.868775171, 52.474392428], [-1.865703069, 52.474735991], [-1.860405972, 52.476126873], [-1.853615323, 52.477172364], [-1.852241256, 52.477285697], [-1.847303521, 52.478001306], [-1.842104688, 52.478426069], [-1.841317773, 52.478601171], [-1.839898297, 52.476216073], [-1.841714892, 52.475848142]]]], ""type"": ""MultiPolygon""}","52.472292963, -1.859751744"
