"wz11cd","lsoa11cd","msoa11cd","date","Length of Residence in UK: All categories: Length of residence in the UK; measures: Value","Length of Residence in UK: Born in the UK; measures: Value","Length of Residence in UK: Resident in UK: Less than 2 years; measures: Value","Length of Residence in UK: Resident in UK: 2 years or more but less than 5 years; measures: Value","Length of Residence in UK: Resident in UK: 5 years or more but less than 10 years; measures: Value","Length of Residence in UK: Resident in UK: 10 years or more; measures: Value"
"E33020459","E01009215","E02001952",2011,286,261,0,4,2,19
"E33020460","E01009210","E02001952",2011,305,273,1,3,6,22
"E33020460","E01009214","E02001952",2011,305,273,1,3,6,22
"E33020461","E01009212","E02001952",2011,279,263,0,1,4,11
"E33020461","E01009215","E02001952",2011,279,263,0,1,4,11
"E33020462","E01009117","E02001952",2011,546,496,1,5,13,31
"E33020462","E01009214","E02001952",2011,546,496,1,5,13,31
"E33020463","E01009116","E02001953",2011,396,357,1,5,3,30
"E33020463","E01009118","E02001953",2011,396,357,1,5,3,30
"E33020464","E01009108","E02001953",2011,329,300,0,3,9,17
"E33020464","E01009111","E02001953",2011,329,300,0,3,9,17
"E33020464","E01009118","E02001953",2011,329,300,0,3,9,17
"E33020465","E01009112","E02001953",2011,906,777,2,11,39,77
"E33020465","E01009111","E02001953",2011,906,777,2,11,39,77
"E33020466","E01009114","E02001954",2011,552,499,1,3,11,38
"E33020466","E01009113","E02001954",2011,552,499,1,3,11,38
"E33020466","E01009115","E02001954",2011,552,499,1,3,11,38
"E33020467","E01009110","E02001954",2011,488,416,2,6,16,48
"E33020467","E01009107","E02001954",2011,488,416,2,6,16,48
"E33020468","E01009163","E02001955",2011,502,459,7,10,9,17
"E33020469","E01009165","E02001955",2011,690,636,0,1,8,45
"E33020469","E01009169","E02001955",2011,690,636,0,1,8,45
"E33020470","E01009158","E02001955",2011,577,501,6,10,22,38
"E33020471","E01009159","E02001956",2011,548,465,0,8,23,52
"E33020472","E01009171","E02001956",2011,502,457,0,4,5,36
"E33020472","E01009164","E02001956",2011,502,457,0,4,5,36
"E33020472","E01009167","E02001956",2011,502,457,0,4,5,36
"E33020473","E01009216","E02001957",2011,477,436,2,3,14,22
"E33020473","E01009168","E02001957",2011,477,436,2,3,14,22
"E33020473","E01009166","E02001957",2011,477,436,2,3,14,22
"E33020473","E01009170","E02001957",2011,477,436,2,3,14,22
"E33020474","E01009217","E02001957",2011,565,519,3,9,11,23
"E33020474","E01009216","E02001957",2011,565,519,3,9,11,23
"E33023213","E01009039","E02006807",2011,648,539,9,9,18,73
"E33023213","E01009041","E02006807",2011,648,539,9,9,18,73
"E33023213","E01032589","E02006807",2011,648,539,9,9,18,73
"E33023214","E01009040","E02006807",2011,494,405,3,6,12,68
"E33023214","E01009039","E02006807",2011,494,405,3,6,12,68
"E33023214","E01009042","E02006807",2011,494,405,3,6,12,68
"E33023218","E01009279","E02006809",2011,290,172,2,3,18,95
"E33023218","E01009267","E02006809",2011,290,172,2,3,18,95
"E33023218","E01032591","E02006809",2011,290,172,2,3,18,95
"E33023219","E01009278","E02006809",2011,685,539,4,17,26,99
"E33023219","E01009279","E02006809",2011,685,539,4,17,26,99
"E33023220","E01009267","E02006809",2011,268,167,4,10,12,75
"E33023220","E01009262","E02006809",2011,268,167,4,10,12,75
"E33023220","E01032591","E02006809",2011,268,167,4,10,12,75
"E33023221","E01009262","E02006809",2011,319,216,2,7,16,78
"E33023221","E01009278","E02006809",2011,319,216,2,7,16,78
"E33023222","E01009276","E02006809",2011,352,261,3,6,16,66
"E33023222","E01032591","E02006809",2011,352,261,3,6,16,66
"E33023236","E01033557","E02006895",2011,437,350,10,20,15,42
"E33023237","E01033557","E02006895",2011,844,615,47,67,54,61
"E33023238","E01033557","E02006895",2011,639,533,9,30,25,42
"E33023239","E01033640","E02006895",2011,640,542,4,9,29,56
"E33023240","E01033624","E02006895",2011,487,409,3,7,22,46
"E33023240","E01033640","E02006895",2011,487,409,3,7,22,46
"E33023240","E01008995","E02006895",2011,487,409,3,7,22,46
"E33023241","E01008995","E02006895",2011,359,270,5,13,25,46
"E33023242","E01033624","E02006895",2011,871,708,18,20,42,83
"E33023242","E01033626","E02006895",2011,871,708,18,20,42,83
"E33023243","E01033616","E02006896",2011,318,257,10,13,14,24
"E33023243","E01033615","E02006896",2011,318,257,10,13,14,24
"E33023244","E01033615","E02006896",2011,264,165,20,26,23,30
"E33023244","E01033616","E02006896",2011,264,165,20,26,23,30
"E33023245","E01033615","E02006896",2011,319,269,12,4,10,24
"E33023246","E01033615","E02006896",2011,734,408,99,99,69,59
"E33023246","E01033567","E02006896",2011,734,408,99,99,69,59
"E33023247","E01009378","E02006896",2011,227,194,1,3,8,21
"E33023248","E01009378","E02006896",2011,349,190,4,17,27,111
"E33023249","E01033615","E02006896",2011,501,399,11,19,33,39
"E33023249","E01033567","E02006896",2011,501,399,11,19,33,39
"E33023250","E01033616","E02006896",2011,376,279,14,19,19,45
"E33023250","E01033567","E02006896",2011,376,279,14,19,19,45
"E33023251","E01009378","E02006896",2011,306,187,14,18,38,49
"E33023252","E01033639","E02006897",2011,416,226,7,15,41,127
"E33023252","E01033564","E02006897",2011,416,226,7,15,41,127
"E33023253","E01009146","E02006897",2011,476,361,7,16,32,60
"E33023254","E01009143","E02006897",2011,452,324,11,13,28,76
"E33023254","E01033639","E02006897",2011,452,324,11,13,28,76
"E33023255","E01009141","E02006898",2011,477,348,2,9,25,93
"E33023256","E01009141","E02006898",2011,1106,903,10,26,51,116
"E33023256","E01033619","E02006898",2011,1106,903,10,26,51,116
"E33023257","E01033565","E02006898",2011,478,410,6,16,14,32
"E33023258","E01033565","E02006898",2011,417,332,14,15,24,32
"E33023259","E01009141","E02006898",2011,345,279,2,6,10,48
"E33023260","E01033619","E02006898",2011,462,387,2,15,18,40
"E33023261","E01033618","E02006898",2011,279,192,7,19,20,41
"E33023261","E01009141","E02006898",2011,279,192,7,19,20,41
"E33023262","E01033627","E02006898",2011,322,254,8,7,20,33
"E33023262","E01033619","E02006898",2011,322,254,8,7,20,33
"E33023263","E01033623","E02006899",2011,510,401,15,22,28,44
"E33023264","E01033623","E02006899",2011,474,414,5,3,14,38
"E33023264","E01033622","E02006899",2011,474,414,5,3,14,38
"E33023265","E01033622","E02006899",2011,247,207,5,7,9,19
"E33023266","E01009327","E02006900",2011,264,150,12,19,22,61
"E33023266","E01009331","E02006900",2011,264,150,12,19,22,61
"E33023267","E01009200","E02006900",2011,466,386,7,13,19,41
"E33023268","E01009328","E02006900",2011,311,139,13,26,41,92
"E33023268","E01009344","E02006900",2011,311,139,13,26,41,92
"E33023268","E01009333","E02006900",2011,311,139,13,26,41,92
"E33023269","E01009344","E02006900",2011,414,279,1,17,29,88
"E33023269","E01009332","E02006900",2011,414,279,1,17,29,88
"E33023270","E01009200","E02006900",2011,306,224,2,8,21,51
"E33023271","E01009328","E02006900",2011,371,204,6,13,20,128
"E33023271","E01009335","E02006900",2011,371,204,6,13,20,128
"E33023271","E01009327","E02006900",2011,371,204,6,13,20,128
"E33023271","E01009331","E02006900",2011,371,204,6,13,20,128
"E33023272","E01009335","E02006900",2011,614,437,11,20,34,112
"E33023273","E01009340","E02006901",2011,325,214,3,17,24,67
"E33023274","E01009393","E02006901",2011,385,199,18,23,36,109
"E33023275","E01009391","E02006901",2011,301,170,11,21,24,75
"E33023275","E01009393","E02006901",2011,301,170,11,21,24,75
"E33023275","E01033641","E02006901",2011,301,170,11,21,24,75
"E33023276","E01009339","E02006901",2011,378,244,3,20,27,84
"E33023277","E01009382","E02006901",2011,252,146,4,10,13,79
"E33023278","E01033641","E02006901",2011,304,169,5,21,36,73
"E33023279","E01009382","E02006901",2011,310,156,5,11,23,115
"E33023279","E01009392","E02006901",2011,310,156,5,11,23,115
"E33023279","E01009393","E02006901",2011,310,156,5,11,23,115
"E33023280","E01009391","E02006901",2011,284,112,12,20,38,102
